,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,331,4.18,219.93,242.59,81,12,7,0.001,1,1000,16,1000
1,True,599,6.62,256.46,268.23,91,6,3,0.001,1,2000,16,1000
2,True,316,3.12,153.13,197.97,48,30,22,0.001,3,1000,16,1000
3,True,678,5.68,189.91,242.88,68,10,22,0.001,3,2000,16,1000
4,True,330,4.9,105.78,142.03,27,29,44,0.0005,1,1000,16,1000
5,True,408,6.62,187.64,230.71,67,17,16,0.0005,1,2000,16,1000
6,True,284,2.74,78.23,219.75,59,3,38,0.0005,3,1000,16,1000
7,True,384,4.4,212.35,237.68,73,21,6,0.0005,3,2000,16,1000
8,True,320,5.29,258.72,266.44,96,3,1,0.0001,1,1000,16,1000
9,True,389,7.01,221.77,237.97,67,25,8,0.0001,1,2000,16,1000
10,True,756,10.71,232.29,241.16,85,13,2,0.0001,3,1000,16,1000
11,False,1000,11.31,88.33,103.34,41,10,49,0.0001,3,2000,16,1000
12,True,652,6.16,229.64,258.43,83,12,5,0.001,1,1000,32,1000
13,True,570,6.66,222.8,251.48,83,12,5,0.001,1,2000,32,1000
14,True,305,2.41,235.81,260.84,85,9,6,0.001,3,1000,32,1000
15,True,440,3.59,215.03,233.06,77,19,4,0.001,3,2000,32,1000
16,True,258,3.74,237.46,261.06,84,9,7,0.0005,1,1000,32,1000
17,True,336,5.87,175.22,216.29,60,20,20,0.0005,1,2000,32,1000
18,True,575,4.31,215.86,232.65,69,25,6,0.0005,3,1000,32,1000
19,True,637,5.11,225.05,242.81,80,14,6,0.0005,3,2000,32,1000
20,True,325,5.72,219.04,232.7,84,11,5,0.0001,1,1000,32,1000
21,True,386,6.38,202.24,228.28,65,25,10,0.0001,1,2000,32,1000
22,True,894,7.82,212.99,232.81,69,26,5,0.0001,3,1000,32,1000
23,True,551,5.51,200.1,197.46,49,42,9,0.0001,3,2000,32,1000
24,True,433,5.23,225.94,248.92,81,16,3,0.001,1,1000,64,1000
25,True,673,7.77,209.48,253.77,74,19,7,0.001,1,2000,64,1000
26,True,269,2.45,236.11,247.37,81,14,5,0.001,3,1000,64,1000
27,True,367,3.4,219.15,239.44,81,15,4,0.001,3,2000,64,1000
28,True,347,5.29,148.72,224.79,59,8,33,0.0005,1,1000,64,1000
29,True,304,5.16,160.11,230.94,62,14,24,0.0005,1,2000,64,1000
30,True,395,3.62,244.67,255.45,88,10,2,0.0005,3,1000,64,1000
31,True,363,3.99,235.29,248.76,83,16,1,0.0005,3,2000,64,1000
32,True,327,5.8,201.24,238.84,67,20,13,0.0001,1,1000,64,1000
33,True,333,6.19,242.5,255.23,86,12,2,0.0001,1,2000,64,1000
34,True,453,5.88,217.66,235.03,80,15,5,0.0001,3,1000,64,1000
35,True,524,7.2,257.96,259.57,95,5,0,0.0001,3,2000,64,1000
