,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,490,5.58,190.83,251.6,69,11,20,0.001,1,1000,16,1000
1,True,518,7.5,245.32,253.35,91,8,1,0.001,1,2000,16,1000
2,True,293,2.57,197.43,214.1,71,14,15,0.001,3,1000,16,1000
3,True,695,6.31,180.99,210.24,60,26,14,0.001,3,2000,16,1000
4,True,374,4.74,201.47,237.23,75,15,10,0.0005,1,1000,16,1000
5,True,347,5.49,247.31,258.31,85,14,1,0.0005,1,2000,16,1000
6,True,318,2.83,214.22,221.9,62,31,7,0.0005,3,1000,16,1000
7,True,491,5.79,235.04,253.46,81,16,3,0.0005,3,2000,16,1000
8,True,352,5.93,232.26,247.38,85,10,5,0.0001,1,1000,16,1000
9,True,394,7.41,220.21,247.28,79,11,10,0.0001,1,2000,16,1000
10,False,1000,15.87,108.02,143.3,25,33,42,0.0001,3,1000,16,1000
11,False,1000,17.51,111.45,174.97,43,17,40,0.0001,3,2000,16,1000
12,True,405,4.48,169.75,239.5,69,6,25,0.001,1,1000,32,1000
13,True,455,7.09,202.92,251.79,79,11,10,0.001,1,2000,32,1000
14,True,368,2.82,162.33,214.15,62,15,23,0.001,3,1000,32,1000
15,True,574,4.96,230.3,245.24,86,11,3,0.001,3,2000,32,1000
16,True,487,6.51,258.18,270.16,89,10,1,0.0005,1,1000,32,1000
17,True,438,6.04,217.94,244.61,82,8,10,0.0005,1,2000,32,1000
18,True,383,3.26,223.51,246.09,83,12,5,0.0005,3,1000,32,1000
19,True,420,4.21,154.83,263.21,76,9,15,0.0005,3,2000,32,1000
20,True,349,6.5,227.81,249.93,81,12,7,0.0001,1,1000,32,1000
21,True,379,7.53,227.65,244.29,79,19,2,0.0001,1,2000,32,1000
22,True,596,6.73,203.49,236.5,76,5,19,0.0001,3,1000,32,1000
23,True,728,9.74,222.69,239.54,79,18,3,0.0001,3,2000,32,1000
24,True,482,5.51,166.29,246.67,69,4,27,0.001,1,1000,64,1000
25,True,659,8.37,240.26,265.59,89,4,7,0.001,1,2000,64,1000
26,True,313,3.44,160.21,231.22,71,11,18,0.001,3,1000,64,1000
27,True,392,3.42,216.77,237.52,73,20,7,0.001,3,2000,64,1000
28,True,492,6.96,167.48,242.18,67,13,20,0.0005,1,1000,64,1000
29,True,697,9.35,225.87,265.4,77,9,14,0.0005,1,2000,64,1000
30,True,326,3.35,244.06,251.31,88,12,0,0.0005,3,1000,64,1000
31,True,388,3.7,198.36,226.07,66,24,10,0.0005,3,2000,64,1000
32,True,272,5.12,202.92,238.68,76,9,15,0.0001,1,1000,64,1000
33,True,410,7.57,204.0,247.35,71,9,20,0.0001,1,2000,64,1000
34,True,494,5.08,219.32,250.04,80,9,11,0.0001,3,1000,64,1000
35,True,401,3.82,188.19,199.45,50,41,9,0.0001,3,2000,64,1000
