,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,297,2.67,168.6,246.15,65,9,26,0.001,1,1000,16,1000
1,True,727,7.37,247.66,259.88,92,6,2,0.001,1,2000,16,1000
2,True,469,3.66,224.16,246.02,81,15,4,0.001,3,1000,16,1000
3,True,558,5.97,224.93,240.5,83,7,10,0.001,3,2000,16,1000
4,True,622,5.9,249.53,262.42,91,7,2,0.0005,1,1000,16,1000
5,True,424,6.76,200.56,248.36,75,13,12,0.0005,1,2000,16,1000
6,True,444,3.22,206.51,213.81,57,38,5,0.0005,3,1000,16,1000
7,True,381,3.85,182.67,237.11,74,3,23,0.0005,3,2000,16,1000
8,True,306,5.31,235.96,252.99,82,17,1,0.0001,1,1000,16,1000
9,True,370,6.25,232.72,242.82,85,12,3,0.0001,1,2000,16,1000
10,True,774,11.01,159.98,237.54,59,3,38,0.0001,3,1000,16,1000
11,False,1000,70.49,-57.12,-62.46,0,1,99,0.0001,3,2000,16,1000
12,True,337,33.95,211.31,245.67,82,8,10,0.001,1,1000,32,1000
13,True,467,7.17,170.88,244.71,62,9,29,0.001,1,2000,32,1000
14,True,397,3.97,219.28,245.62,66,34,0,0.001,3,1000,32,1000
15,True,436,3.93,207.65,243.55,75,20,5,0.001,3,2000,32,1000
16,True,225,3.37,229.93,248.54,87,9,4,0.0005,1,1000,32,1000
17,True,641,7.99,206.11,242.54,72,16,12,0.0005,1,2000,32,1000
18,True,290,2.52,183.28,255.39,61,6,33,0.0005,3,1000,32,1000
19,True,381,4.31,245.97,251.08,89,10,1,0.0005,3,2000,32,1000
20,True,285,5.6,219.77,244.78,81,8,11,0.0001,1,1000,32,1000
21,True,469,8.38,233.03,246.07,83,11,6,0.0001,1,2000,32,1000
22,True,653,8.04,192.53,220.7,68,18,14,0.0001,3,1000,32,1000
23,False,1000,9.03,151.91,200.25,51,24,25,0.0001,3,2000,32,1000
24,True,419,6.69,201.79,243.28,72,13,15,0.001,1,1000,64,1000
25,True,798,12.62,165.81,249.56,72,3,25,0.001,1,2000,64,1000
26,True,522,4.55,85.87,246.17,63,4,33,0.001,3,1000,64,1000
27,True,500,4.77,221.31,237.4,78,14,8,0.001,3,2000,64,1000
28,True,565,7.69,229.98,262.67,87,4,9,0.0005,1,1000,64,1000
29,True,379,7.23,213.49,250.34,82,4,14,0.0005,1,2000,64,1000
30,True,232,2.82,239.96,248.58,87,12,1,0.0005,3,1000,64,1000
31,True,422,4.76,234.1,252.35,85,7,8,0.0005,3,2000,64,1000
32,True,297,7.85,227.45,248.09,82,14,4,0.0001,1,1000,64,1000
33,True,426,10.21,240.89,253.06,88,10,2,0.0001,1,2000,64,1000
34,True,491,7.13,208.8,244.18,77,11,12,0.0001,3,1000,64,1000
35,True,423,7.16,235.83,248.68,86,7,7,0.0001,3,2000,64,1000
