,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,463,5.82,153.94,241.98,66,2,32,0.001,1,1000,16,1000
1,True,317,4.38,205.05,235.09,77,15,8,0.001,1,2000,16,1000
2,True,328,2.9,226.2,247.93,79,11,10,0.001,3,1000,16,1000
3,True,461,4.05,232.05,240.49,84,12,4,0.001,3,2000,16,1000
4,True,269,3.8,186.62,233.36,67,13,20,0.0005,1,1000,16,1000
5,True,450,6.52,212.18,242.67,75,13,12,0.0005,1,2000,16,1000
6,True,306,2.87,198.63,209.55,54,38,8,0.0005,3,1000,16,1000
7,True,471,5.43,221.63,244.13,87,3,10,0.0005,3,2000,16,1000
8,True,376,6.48,229.41,262.04,83,2,15,0.0001,1,1000,16,1000
9,True,449,8.96,193.83,236.9,66,19,15,0.0001,1,2000,16,1000
10,True,933,9.57,209.16,242.63,78,8,14,0.0001,3,1000,16,1000
11,False,1000,14.6,151.94,213.29,55,10,35,0.0001,3,2000,16,1000
12,True,403,5.91,192.18,253.33,72,13,15,0.001,1,1000,32,1000
13,True,432,6.4,205.44,241.44,73,17,10,0.001,1,2000,32,1000
14,True,398,3.36,222.63,254.19,81,10,9,0.001,3,1000,32,1000
15,True,391,3.5,213.49,234.8,82,12,6,0.001,3,2000,32,1000
16,True,331,3.99,223.57,249.95,81,9,10,0.0005,1,1000,32,1000
17,True,298,4.4,216.67,232.45,78,16,6,0.0005,1,2000,32,1000
18,True,355,3.17,240.18,247.62,93,6,1,0.0005,3,1000,32,1000
19,True,366,3.7,237.74,264.4,87,2,11,0.0005,3,2000,32,1000
20,True,340,5.58,230.91,240.38,81,18,1,0.0001,1,1000,32,1000
21,True,406,8.84,231.51,256.69,84,6,10,0.0001,1,2000,32,1000
22,True,553,6.12,247.01,254.68,95,2,3,0.0001,3,1000,32,1000
23,True,821,10.29,222.21,249.99,86,4,10,0.0001,3,2000,32,1000
24,True,711,8.37,239.16,267.6,90,4,6,0.001,1,1000,64,1000
25,True,557,7.14,121.69,210.76,50,2,48,0.001,1,2000,64,1000
26,True,303,2.87,228.78,245.4,82,13,5,0.001,3,1000,64,1000
27,True,423,4.01,157.31,225.93,56,15,29,0.001,3,2000,64,1000
28,True,332,5.12,212.16,255.95,80,3,17,0.0005,1,1000,64,1000
29,True,459,8.08,193.01,237.77,72,11,17,0.0005,1,2000,64,1000
30,True,262,2.64,225.53,237.65,85,13,2,0.0005,3,1000,64,1000
31,True,353,3.96,145.17,198.63,49,19,32,0.0005,3,2000,64,1000
32,True,274,4.54,241.51,248.21,90,7,3,0.0001,1,1000,64,1000
33,True,319,6.17,228.85,240.0,89,7,4,0.0001,1,2000,64,1000
34,True,448,4.82,232.97,243.32,83,13,4,0.0001,3,1000,64,1000
35,True,508,7.07,199.53,238.34,66,22,12,0.0001,3,2000,64,1000
