,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,371,4.2,165.25,246.65,70,5,25,0.001,1,1000,16,1000
1,True,561,7.86,181.55,245.91,74,10,16,0.001,1,2000,16,1000
2,True,405,3.52,249.12,256.58,89,9,2,0.001,3,1000,16,1000
3,True,411,3.72,164.2,207.41,52,30,18,0.001,3,2000,16,1000
4,True,397,5.86,213.78,245.43,77,14,9,0.0005,1,1000,16,1000
5,True,694,8.09,197.45,244.01,71,11,18,0.0005,1,2000,16,1000
6,True,362,3.15,197.78,202.82,53,36,11,0.0005,3,1000,16,1000
7,True,506,4.64,216.05,246.9,75,13,12,0.0005,3,2000,16,1000
8,True,341,5.33,231.98,243.37,90,6,4,0.0001,1,1000,16,1000
9,True,602,10.03,214.51,234.44,76,21,3,0.0001,1,2000,16,1000
10,False,1000,13.12,23.39,-1.31,6,12,82,0.0001,3,1000,16,1000
11,True,928,14.81,237.22,249.63,89,8,3,0.0001,3,2000,16,1000
12,True,512,5.78,169.08,250.02,84,5,11,0.001,1,1000,32,1000
13,True,402,5.54,224.97,248.36,82,13,5,0.001,1,2000,32,1000
14,True,371,3.1,198.39,229.49,76,10,14,0.001,3,1000,32,1000
15,True,431,3.9,170.6,233.2,61,22,17,0.001,3,2000,32,1000
16,True,440,5.29,164.71,238.92,69,14,17,0.0005,1,1000,32,1000
17,True,624,7.91,192.12,245.89,71,13,16,0.0005,1,2000,32,1000
18,True,398,3.63,180.17,211.86,58,21,21,0.0005,3,1000,32,1000
19,True,368,3.55,175.52,225.62,69,12,19,0.0005,3,2000,32,1000
20,True,363,5.45,218.66,210.35,59,38,3,0.0001,1,1000,32,1000
21,True,541,8.89,212.76,236.4,67,29,4,0.0001,1,2000,32,1000
22,True,637,6.36,188.37,234.57,68,15,17,0.0001,3,1000,32,1000
23,True,742,7.84,199.43,225.23,66,24,10,0.0001,3,2000,32,1000
24,True,632,6.99,235.28,262.15,82,9,9,0.001,1,1000,64,1000
25,True,608,9.29,213.37,252.17,72,17,11,0.001,1,2000,64,1000
26,True,461,3.68,100.13,243.22,71,11,18,0.001,3,1000,64,1000
27,True,476,4.27,221.66,250.9,73,19,8,0.001,3,2000,64,1000
28,True,379,5.68,216.99,239.24,74,20,6,0.0005,1,1000,64,1000
29,True,649,10.09,236.34,249.96,81,16,3,0.0005,1,2000,64,1000
30,True,354,3.26,112.64,239.73,63,8,29,0.0005,3,1000,64,1000
31,True,430,4.36,238.58,247.55,84,16,0,0.0005,3,2000,64,1000
32,True,318,5.29,218.13,229.25,77,21,2,0.0001,1,1000,64,1000
33,True,372,6.41,189.87,217.43,59,28,13,0.0001,1,2000,64,1000
34,True,486,4.82,188.72,231.23,66,20,14,0.0001,3,1000,64,1000
35,True,439,4.63,218.63,236.13,74,22,4,0.0001,3,2000,64,1000
