,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,727,7.25,142.19,239.94,74,15,11,0.001,1,1000,16,1000
1,True,624,7.52,227.74,252.46,81,12,7,0.001,1,2000,16,1000
2,True,494,4.31,227.16,242.22,87,7,6,0.001,3,1000,16,1000
3,True,784,5.96,210.53,239.05,78,15,7,0.001,3,2000,16,1000
4,True,468,6.24,212.82,260.62,74,5,21,0.0005,1,1000,16,1000
5,True,445,6.48,137.63,224.63,53,10,37,0.0005,1,2000,16,1000
6,True,578,4.77,238.31,248.68,84,13,3,0.0005,3,1000,16,1000
7,True,472,4.79,197.39,229.86,76,10,14,0.0005,3,2000,16,1000
8,True,472,8.07,261.15,266.46,93,7,0,0.0001,1,1000,16,1000
9,True,577,9.17,239.15,248.61,87,11,2,0.0001,1,2000,16,1000
10,True,852,11.35,217.56,233.69,84,12,4,0.0001,3,1000,16,1000
11,True,838,9.77,206.42,220.91,62,29,9,0.0001,3,2000,16,1000
12,True,547,6.11,130.84,246.23,59,10,31,0.001,1,1000,32,1000
13,True,520,7.05,236.17,251.95,90,6,4,0.001,1,2000,32,1000
14,True,529,4.36,184.63,194.94,49,43,8,0.001,3,1000,32,1000
15,True,629,4.93,235.39,254.43,83,14,3,0.001,3,2000,32,1000
16,True,504,6.91,212.85,256.24,79,4,17,0.0005,1,1000,32,1000
17,True,557,7.44,178.4,255.3,80,7,13,0.0005,1,2000,32,1000
18,True,557,4.35,219.9,233.84,73,22,5,0.0005,3,1000,32,1000
19,True,534,4.92,240.91,251.26,88,12,0,0.0005,3,2000,32,1000
20,True,563,9.49,228.13,249.43,80,18,2,0.0001,1,1000,32,1000
21,True,583,9.94,247.89,255.85,90,10,0,0.0001,1,2000,32,1000
22,True,554,5.44,198.47,227.4,68,24,8,0.0001,3,1000,32,1000
23,True,655,6.88,222.23,241.26,81,13,6,0.0001,3,2000,32,1000
24,True,966,10.29,247.1,262.06,91,5,4,0.001,1,1000,64,1000
25,True,553,6.72,194.87,253.86,68,13,19,0.001,1,2000,64,1000
26,True,554,3.77,178.86,243.37,71,5,24,0.001,3,1000,64,1000
27,True,655,5.27,239.36,254.5,89,7,4,0.001,3,2000,64,1000
28,True,670,9.2,221.26,260.27,77,8,15,0.0005,1,1000,64,1000
29,True,514,7.69,188.13,241.12,67,10,23,0.0005,1,2000,64,1000
30,True,433,3.86,233.7,239.98,87,12,1,0.0005,3,1000,64,1000
31,True,622,4.89,196.77,249.28,69,13,18,0.0005,3,2000,64,1000
32,True,565,9.91,111.88,233.11,72,15,13,0.0001,1,1000,64,1000
33,True,531,8.5,218.3,241.2,71,27,2,0.0001,1,2000,64,1000
34,True,499,4.69,219.17,218.56,66,30,4,0.0001,3,1000,64,1000
35,True,550,5.19,208.49,240.61,73,21,6,0.0001,3,2000,64,1000
