,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,473,5.09,235.57,254.25,86,9,5,0.001,1,1000,16,1000
1,True,777,9.37,245.93,265.27,89,9,2,0.001,1,2000,16,1000
2,True,395,3.4,204.46,223.42,72,16,12,0.001,3,1000,16,1000
3,True,441,3.88,160.5,175.74,43,34,23,0.001,3,2000,16,1000
4,True,411,5.81,218.16,246.73,75,21,4,0.0005,1,1000,16,1000
5,True,479,7.04,-34.2,228.88,60,18,22,0.0005,1,2000,16,1000
6,True,421,3.87,215.64,250.73,81,6,13,0.0005,3,1000,16,1000
7,True,412,3.72,219.68,238.02,77,18,5,0.0005,3,2000,16,1000
8,True,449,7.99,235.82,252.68,88,7,5,0.0001,1,1000,16,1000
9,True,532,8.04,212.09,237.46,82,9,9,0.0001,1,2000,16,1000
10,False,1000,15.04,205.77,213.22,63,35,2,0.0001,3,1000,16,1000
11,True,710,8.75,193.84,237.2,66,19,15,0.0001,3,2000,16,1000
12,True,681,7.01,249.2,267.11,85,12,3,0.001,1,1000,32,1000
13,True,519,6.97,265.07,272.51,98,0,2,0.001,1,2000,32,1000
14,True,524,4.18,236.57,252.64,83,14,3,0.001,3,1000,32,1000
15,True,517,4.5,212.16,244.54,74,14,12,0.001,3,2000,32,1000
16,True,495,7.34,117.04,81.56,47,3,50,0.0005,1,1000,32,1000
17,True,552,8.79,228.67,260.14,81,9,10,0.0005,1,2000,32,1000
18,True,405,3.63,212.72,227.28,78,17,5,0.0005,3,1000,32,1000
19,True,414,3.89,232.88,240.4,90,8,2,0.0005,3,2000,32,1000
20,True,376,6.36,156.62,200.54,50,20,30,0.0001,1,1000,32,1000
21,True,400,6.97,201.56,232.07,62,31,7,0.0001,1,2000,32,1000
22,True,554,6.5,191.58,217.52,68,19,13,0.0001,3,1000,32,1000
23,True,668,6.51,225.45,237.72,84,13,3,0.0001,3,2000,32,1000
24,True,760,7.6,206.68,267.98,80,2,18,0.001,1,1000,64,1000
25,True,717,7.82,224.2,259.68,79,7,14,0.001,1,2000,64,1000
26,True,698,4.63,227.75,250.61,80,14,6,0.001,3,1000,64,1000
27,True,590,4.85,218.53,245.07,79,14,7,0.001,3,2000,64,1000
28,True,925,10.72,223.63,265.33,88,5,7,0.0005,1,1000,64,1000
29,True,434,6.82,182.54,231.32,68,18,14,0.0005,1,2000,64,1000
30,True,392,3.63,45.31,9.01,32,15,53,0.0005,3,1000,64,1000
31,True,378,3.72,220.9,245.5,78,17,5,0.0005,3,2000,64,1000
32,True,471,7.56,229.6,246.86,79,17,4,0.0001,1,1000,64,1000
33,True,389,7.2,197.43,238.0,61,20,19,0.0001,1,2000,64,1000
34,True,493,5.37,213.53,216.88,66,30,4,0.0001,3,1000,64,1000
35,True,437,4.82,190.04,215.27,64,25,11,0.0001,3,2000,64,1000
