,solved,train episodes,training time,mean evaluation rewards,median evaluation rewards,well landed eval. episodes,landed eval. episodes,crashed eval. episodes,LEARNING RATE,DNN UPD FREQ,DNN SYNC FREQ,BATCH SIZE,MAX EPISODES
0,True,477,5.45,235.6,256.72,89,6,5,0.001,1,1000,16,1000
1,True,984,10.53,-10.06,250.81,67,10,23,0.001,1,2000,16,1000
2,True,262,2.45,239.66,242.76,81,17,2,0.001,3,1000,16,1000
3,True,607,5.07,195.47,234.99,64,24,12,0.001,3,2000,16,1000
4,True,256,3.98,222.54,252.61,79,13,8,0.0005,1,1000,16,1000
5,True,320,5.45,210.01,247.07,77,9,14,0.0005,1,2000,16,1000
6,True,397,4.7,200.36,238.47,72,16,12,0.0005,3,1000,16,1000
7,True,359,3.75,207.13,227.52,74,16,10,0.0005,3,2000,16,1000
8,True,297,5.48,224.75,249.06,81,12,7,0.0001,1,1000,16,1000
9,True,453,9.8,144.52,179.05,47,10,43,0.0001,1,2000,16,1000
10,True,895,15.92,226.86,236.16,84,12,4,0.0001,3,1000,16,1000
11,True,692,10.08,214.69,230.47,76,18,6,0.0001,3,2000,16,1000
12,True,239,4.14,227.29,252.75,80,16,4,0.001,1,1000,32,1000
13,True,828,12.67,199.77,247.7,78,9,13,0.001,1,2000,32,1000
14,True,280,2.61,160.54,179.46,43,30,27,0.001,3,1000,32,1000
15,True,402,5.9,211.02,228.93,75,20,5,0.001,3,2000,32,1000
16,True,522,7.33,229.37,256.42,83,10,7,0.0005,1,1000,32,1000
17,True,387,6.2,211.53,243.73,80,9,11,0.0005,1,2000,32,1000
18,True,343,3.38,253.48,264.97,89,10,1,0.0005,3,1000,32,1000
19,True,311,3.12,228.3,250.58,81,13,6,0.0005,3,2000,32,1000
20,True,334,7.45,238.26,256.12,84,12,4,0.0001,1,1000,32,1000
21,True,334,6.31,230.61,242.79,88,9,3,0.0001,1,2000,32,1000
22,True,876,12.15,221.81,233.83,80,19,1,0.0001,3,1000,32,1000
23,True,892,18.8,237.32,239.07,96,3,1,0.0001,3,2000,32,1000
24,True,867,8.93,258.63,267.4,93,5,2,0.001,1,1000,64,1000
25,True,370,6.54,171.52,240.58,61,13,26,0.001,1,2000,64,1000
26,True,272,2.48,199.63,228.6,67,21,12,0.001,3,1000,64,1000
27,True,403,5.8,223.6,249.76,75,21,4,0.001,3,2000,64,1000
28,True,248,4.43,232.25,253.87,80,16,4,0.0005,1,1000,64,1000
29,True,757,9.64,222.69,262.53,79,7,14,0.0005,1,2000,64,1000
30,True,319,3.27,192.8,232.69,63,28,9,0.0005,3,1000,64,1000
31,True,290,3.38,217.6,235.13,81,8,11,0.0005,3,2000,64,1000
32,True,233,4.31,244.47,251.21,93,5,2,0.0001,1,1000,64,1000
33,True,461,12.77,203.01,243.28,67,20,13,0.0001,1,2000,64,1000
34,True,325,3.76,130.52,155.37,46,7,47,0.0001,3,1000,64,1000
35,True,433,4.91,224.64,235.85,78,19,3,0.0001,3,2000,64,1000
